kind,routePath,concretePath,url,outcome,ok,status,statusText,redirectedTo,contentType,error,bodySample,checkedAt,sourceFile,localhostUrl,orgSubdomainUrl,adminHostUrl
api,/api/admin/roles/[roleId],/api/admin/roles/example,http://localhost:3000/api/admin/roles/example,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:53.582Z,apps/web/src/app/api/admin/roles/[roleId]/route.ts,http://localhost:3000/api/admin/roles/example,http://demo.localhost:3000/api/admin/roles/example,http://admin.localhost:3000/api/admin/roles/example
api,/api/admin/rota-sheets-import,/api/admin/rota-sheets-import,http://localhost:3000/api/admin/rota-sheets-import,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:54.096Z,apps/web/src/app/api/admin/rota-sheets-import/route.ts,http://localhost:3000/api/admin/rota-sheets-import,http://demo.localhost:3000/api/admin/rota-sheets-import,http://admin.localhost:3000/api/admin/rota-sheets-import
api,/api/admin/self-signup-link,/api/admin/self-signup-link,http://localhost:3000/api/admin/self-signup-link,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:55.365Z,apps/web/src/app/api/admin/self-signup-link/route.ts,http://localhost:3000/api/admin/self-signup-link,http://demo.localhost:3000/api/admin/self-signup-link,http://admin.localhost:3000/api/admin/self-signup-link
api,/api/auth/complete-org-join,/api/auth/complete-org-join,http://localhost:3000/api/auth/complete-org-join,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:55.702Z,apps/web/src/app/api/auth/complete-org-join/route.ts,http://localhost:3000/api/auth/complete-org-join,http://demo.localhost:3000/api/auth/complete-org-join,http://admin.localhost:3000/api/auth/complete-org-join
api,/api/auth/create-org-for-existing-account,/api/auth/create-org-for-existing-account,http://localhost:3000/api/auth/create-org-for-existing-account,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:55.972Z,apps/web/src/app/api/auth/create-org-for-existing-account/route.ts,http://localhost:3000/api/auth/create-org-for-existing-account,http://demo.localhost:3000/api/auth/create-org-for-existing-account,http://admin.localhost:3000/api/auth/create-org-for-existing-account
api,/api/auth/join-org-for-existing-account,/api/auth/join-org-for-existing-account,http://localhost:3000/api/auth/join-org-for-existing-account,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:56.237Z,apps/web/src/app/api/auth/join-org-for-existing-account/route.ts,http://localhost:3000/api/auth/join-org-for-existing-account,http://demo.localhost:3000/api/auth/join-org-for-existing-account,http://admin.localhost:3000/api/auth/join-org-for-existing-account
api,/api/auth/register-existing-membership,/api/auth/register-existing-membership,http://localhost:3000/api/auth/register-existing-membership,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:56.511Z,apps/web/src/app/api/auth/register-existing-membership/route.ts,http://localhost:3000/api/auth/register-existing-membership,http://demo.localhost:3000/api/auth/register-existing-membership,http://admin.localhost:3000/api/auth/register-existing-membership
api,/api/broadcasts/summarize,/api/broadcasts/summarize,http://localhost:3000/api/broadcasts/summarize,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:56.785Z,apps/web/src/app/api/broadcasts/summarize/route.ts,http://localhost:3000/api/broadcasts/summarize,http://demo.localhost:3000/api/broadcasts/summarize,http://admin.localhost:3000/api/broadcasts/summarize
api,/api/cache/invalidate,/api/cache/invalidate,http://localhost:3000/api/cache/invalidate,ok,false,405,Method Not Allowed,,,,,2026-05-01T09:51:57.160Z,apps/web/src/app/api/cache/invalidate/route.ts,http://localhost:3000/api/cache/invalidate,http://demo.localhost:3000/api/cache/invalidate,http://admin.localhost:3000/api/cache/invalidate
api,/api/google/calendar/events,/api/google/calendar/events,http://localhost:3000/api/google/calendar/events,ok,false,400,Bad Request,,application/json,,"{""error"":""from and to are required""}",2026-05-01T09:51:57.511Z,apps/web/src/app/api/google/calendar/events/route.ts,http://localhost:3000/api/google/calendar/events,http://demo.localhost:3000/api/google/calendar/events,http://admin.localhost:3000/api/google/calendar/events
